Time,Open,High,Low,Close,Volume
01/01/2021 06:00:00,742.15,744.61,738.16,741.06,148.28988
01/01/2021 07:00:00,741.41,741.86,736.11,738.55,191.78228
01/01/2021 08:00:00,739.21,739.29,727.48,732.36,349.81955
01/01/2021 09:00:00,731,736.02,731,734.95,41.84535
01/01/2021 10:00:00,734.95,740.25,734.95,738.12,64.42043
01/01/2021 11:00:00,738.25,743.14,737.96,739.02,52.56979
01/01/2021 12:00:00,740.1,745,734.5,735.25,404.89792
01/01/2021 13:00:00,735.13,743.81,735.08,741.56,235.23831
01/01/2021 14:00:00,742.44,743.07,738.31,740.07,184.87082
01/01/2021 15:00:00,739.71,741.64,735.87,737.13,111.79265
01/01/2021 16:00:00,738.53,739.38,735,737.83,152.43362
01/01/2021 17:00:00,737.25,738.51,729.02,729.95,583.56942
01/01/2021 18:00:00,729.67,733.76,716.65,726.42,651.577
01/01/2021 19:00:00,726.15,729.56,722.8,727.48,243.78978
01/01/2021 20:00:00,727.25,732.48,724.48,731.82,314.74936
01/01/2021 21:00:00,731.37,732.29,728.32,730.21,258.29497
01/01/2021 22:00:00,729.92,733.81,727.7,731.15,208.75409
01/01/2021 23:00:00,730.4,732.62,729.86,730.63,155.99824
01/02/2021 00:00:00,731.33,732.35,718.49,722,619.414
01/02/2021 01:00:00,720.71,733.75,717.27,731.42,491.7322
01/02/2021 02:00:00,732.2,735.97,731.5,731.5,339.73246
01/02/2021 03:00:00,731.87,733.73,730.84,732.38,196.77848
01/02/2021 04:00:00,732.06,732.51,728.17,731.93,239.13584
01/02/2021 05:00:00,731.89,735.39,731.76,733.65,293.32369
01/02/2021 06:00:00,735.29,742.3,732.63,739.5,379.14263
01/02/2021 07:00:00,739.44,740.7,735.04,737.8,193.60744
01/02/2021 08:00:00,737.82,739.82,730.2,734.63,197.71299
01/02/2021 09:00:00,735.73,736.19,725.67,726.98,119.10447
01/02/2021 10:00:00,727.32,735.16,725.44,730.03,65.62864
01/02/2021 11:00:00,730.5,732.34,729.56,731.5,17.52937
01/02/2021 12:00:00,731.5,757.92,730.5,753.26,1048.13463
01/02/2021 13:00:00,754,774,750.93,771.88,1596.29442
01/02/2021 14:00:00,771.98,773.2,755.44,762.14,987.48226
01/02/2021 15:00:00,762.97,770.92,762.3,770.56,471.30967
01/02/2021 16:00:00,770.56,784.7,765.76,782.71,1608.2155
01/02/2021 17:00:00,783.5,785.89,776.27,781.08,996.76832
01/02/2021 18:00:00,781.68,784.63,772.76,781.07,692.36894
01/02/2021 19:00:00,781.68,788.88,778.86,785.92,768.83599
01/02/2021 20:00:00,786,787,755,758.49,1522.20168
01/02/2021 21:00:00,758.12,771.24,753.04,769.5,1035.06366
01/02/2021 22:00:00,769.49,775.46,766.06,772.88,429.72565
01/02/2021 23:00:00,772.75,778.34,764.65,775.5,686.46442
01/03/2021 00:00:00,775.57,779.3,771.78,776.94,534.51338
01/03/2021 01:00:00,776.06,779.57,773.99,777.61,218.13433
01/03/2021 02:00:00,778.03,782.27,776.44,779.79,237.63143
01/03/2021 03:00:00,779.8,780.32,772.51,774.24,494.85203
01/03/2021 04:00:00,773.64,778.92,770,778.53,407.10957
01/03/2021 05:00:00,778.18,791.08,777.59,786.88,1363.91791
01/03/2021 06:00:00,786.64,801.96,784.55,800.27,1644.38725
01/03/2021 07:00:00,800.41,807.55,796.64,801.26,598.56365
01/03/2021 08:00:00,801.37,819.94,792.32,818.4,846.75272
01/03/2021 09:00:00,818.4,825.74,814.08,819.37,557.07297
01/03/2021 10:00:00,819.85,829.36,816.99,825.94,438.39755
01/03/2021 11:00:00,825.94,832.79,824.96,830.55,304.35253
01/03/2021 12:00:00,831.11,836.96,827.5,832.34,339.3069
01/03/2021 13:00:00,833.09,888.74,833.09,875.2,1931.21648
01/03/2021 14:00:00,874.96,922.9,864.52,914.43,3415.59578
01/03/2021 15:00:00,914.32,921.1,880.58,920.47,2046.66679
01/03/2021 16:00:00,920.47,978.2,920.47,936.79,4257.27233
01/03/2021 17:00:00,937.56,959.28,917.92,935.36,2752.65054
01/03/2021 18:00:00,936.66,941.58,882.88,917.72,3138.25143
