Time,Open,High,Low,Close,Volume
01/01/2021 06:00:00,5.1461,5.1461,4.8881,4.9344,26081.01
01/01/2021 07:00:00,4.9344,5,4.873,5,17405.31
01/01/2021 08:00:00,5.0197,5.0197,4.8822,4.9346,5906.82
01/01/2021 09:00:00,4.9293,5.0222,4.9293,4.9668,3705.23
01/01/2021 10:00:00,4.9932,5.1205,4.9932,5.0614,15772.57
01/01/2021 11:00:00,5.0514,5.0797,5.0209,5.0209,11048.47
01/01/2021 12:00:00,5.02,5.02,4.8474,4.9062,28321.48
01/01/2021 13:00:00,4.9045,4.9657,4.86,4.945,14427.66
01/01/2021 14:00:00,4.925,5.0632,4.9144,4.97,30407.1
01/01/2021 15:00:00,4.964,4.9647,4.7222,4.7911,33591.05
01/01/2021 16:00:00,4.8,4.88,4.7644,4.8387,17302
01/01/2021 17:00:00,4.8264,4.8462,4.6427,4.7,29501.11
01/01/2021 18:00:00,4.6824,4.8333,4.6374,4.8078,60975.76
01/01/2021 19:00:00,4.8089,4.8558,4.7769,4.8375,11120.97
01/01/2021 20:00:00,4.8,4.9041,4.7898,4.8359,5604.45
01/01/2021 21:00:00,4.8461,4.8507,4.7752,4.7888,13694.43
01/01/2021 22:00:00,4.7777,4.8124,4.7339,4.7721,9523.73
01/01/2021 23:00:00,4.7721,4.7721,4.7,4.7513,16220.64
01/02/2021 00:00:00,4.7242,4.731,4.5171,4.5865,24620.62
01/02/2021 01:00:00,4.5846,4.7109,4.55,4.7008,17663.96
01/02/2021 02:00:00,4.6777,4.75,4.6726,4.7024,6535.47
01/02/2021 03:00:00,4.7366,4.8438,4.6983,4.8245,7334.73
01/02/2021 04:00:00,4.8157,4.8157,4.7312,4.7553,20040.91
01/02/2021 05:00:00,4.787,4.9444,4.7844,4.8606,37864.9
01/02/2021 06:00:00,4.878,4.878,4.7432,4.7493,14991.27
01/02/2021 07:00:00,4.7583,4.7625,4.6804,4.7022,13546.84
01/02/2021 08:00:00,4.7041,4.7151,4.6299,4.6299,23376.14
01/02/2021 09:00:00,4.6262,4.6407,4.5728,4.5728,11195.08
01/02/2021 10:00:00,4.5555,4.6519,4.4988,4.6135,31097.19
01/02/2021 11:00:00,4.6206,4.65,4.6161,4.6203,2294.56
01/02/2021 12:00:00,4.629,4.7222,4.5496,4.651,10735.79
01/02/2021 13:00:00,4.6484,4.8307,4.639,4.7426,20747.28
01/02/2021 14:00:00,4.7333,4.7333,4.6111,4.6748,35297.8
01/02/2021 15:00:00,4.6785,4.8888,4.6513,4.8888,25287.54
01/02/2021 16:00:00,4.8965,4.9191,4.7,4.7815,37918.32
01/02/2021 17:00:00,4.7779,4.8446,4.7479,4.7532,22852.38
01/02/2021 18:00:00,4.7704,4.993,4.7208,4.962,72102.45
01/02/2021 19:00:00,4.9476,5.2,4.931,5.075,78383.3
01/02/2021 20:00:00,5.0791,5.1458,4.7244,4.7539,61858.92
01/02/2021 21:00:00,4.7496,4.9036,4.66,4.8328,25493.29
01/02/2021 22:00:00,4.8314,4.9187,4.7981,4.8888,17023.52
01/02/2021 23:00:00,4.8752,4.8752,4.8002,4.8564,11838.05
01/03/2021 00:00:00,4.8669,4.8721,4.7522,4.7723,3573.96
01/03/2021 01:00:00,4.7531,4.794,4.7222,4.7441,7624.29
01/03/2021 02:00:00,4.7438,4.8292,4.7438,4.8292,3468.66
01/03/2021 03:00:00,4.8299,4.8301,4.7304,4.7309,6937.24
01/03/2021 04:00:00,4.7354,4.7354,4.6818,4.7349,1737.38
01/03/2021 05:00:00,4.7332,4.7735,4.7285,4.7735,5215.52
01/03/2021 06:00:00,4.7611,4.9201,4.7611,4.9097,14153.93
01/03/2021 07:00:00,4.9148,4.9981,4.7825,4.7893,12811.95
01/03/2021 08:00:00,4.7887,4.9225,4.7222,4.9189,8608.92
01/03/2021 09:00:00,4.8931,4.9362,4.8261,4.8514,7851.79
01/03/2021 10:00:00,4.8207,5.0707,4.795,5.0472,11769.56
